      object_id    object_typeconfidence (0-1)
              1        vehicle           0.26
              2        vehicle           0.48
              3        bicycle           0.89
              4        bicycle           0.92
              5        bicycle           0.27
              6        vehicle           0.40
              7     pedestrian           0.09
              8     pedestrian           0.21
              9        bicycle           0.84
             10        vehicle           0.33
             11        bicycle           0.52
             12        vehicle           0.32
             13        bicycle           0.64
             14        bicycle           0.83
             15        bicycle           0.97
             16     pedestrian           0.63
             17        bicycle           0.68
             18     pedestrian           0.88
             19     pedestrian           0.63
             20        bicycle           0.40
             21     pedestrian           0.38
             22        vehicle           0.17
             23     pedestrian           0.55
             24        bicycle           0.09
             25     pedestrian           0.40
             26     pedestrian           0.53
             27     pedestrian           0.92
             28        bicycle           0.46
             29     pedestrian           0.78
             30        bicycle           0.51
             31     pedestrian           0.02
             32     pedestrian           0.97
             33     pedestrian           0.25
             34        vehicle           0.27
             35        vehicle           0.66
             36     pedestrian           0.79
             37     pedestrian           0.46
             38        vehicle           0.50
             39        bicycle           0.35
             40        vehicle           0.41
             41        bicycle           0.02
             42        bicycle           0.67
             43     pedestrian           0.80
             44     pedestrian           0.49
             45     pedestrian           0.42
             46        bicycle           0.32
             47     pedestrian           0.13
             48        vehicle           0.14
             49        vehicle           0.15
             50        vehicle           0.27
             51        vehicle           0.07
             52        vehicle           0.84
             53        vehicle           0.03
             54        bicycle           0.55
             55        vehicle           0.94
             56     pedestrian           0.12
             57        bicycle           0.90
             58     pedestrian           0.89
             59        vehicle           0.92
             60     pedestrian           0.27
             61     pedestrian           0.37
             62     pedestrian           0.77
             63        vehicle           0.88
             64     pedestrian           0.89
             65        bicycle           0.32
             66        vehicle           0.83
             67        vehicle           0.22
             68        bicycle           0.93
             69        bicycle           0.02
             70     pedestrian           0.62
             71     pedestrian           0.43
             72        bicycle           0.91
             73        vehicle           0.52
             74     pedestrian           0.02
             75        vehicle           0.18
             76     pedestrian           0.77
             77        bicycle           0.88
             78        vehicle           0.06
             79     pedestrian           0.45
             80     pedestrian           0.79
             81        vehicle           0.11
             82        vehicle           0.16
             83        vehicle           0.30
             84     pedestrian           0.57
             85        vehicle           0.56
             86        bicycle           0.27
             87        bicycle           0.93
             88        bicycle           0.32
             89     pedestrian           0.99
             90        bicycle           0.89
             91        vehicle           0.63
             92        vehicle           0.73
             93     pedestrian           0.20
             94        vehicle           0.28
             95        bicycle           0.74
             96        bicycle           0.43
             97        bicycle           0.70
             98        vehicle           0.18
             99        vehicle           0.67
            100        bicycle           0.31
            101     pedestrian           0.94
            102        vehicle           0.23
            103        vehicle           0.76
            104        bicycle           0.32
            105     pedestrian           0.88
            106        vehicle           0.92
            107        vehicle           0.86
            108     pedestrian           0.03
            109        vehicle           0.44
            110        vehicle           0.72
            111     pedestrian           0.38
            112     pedestrian           0.02
            113        vehicle           0.73
            114     pedestrian           0.07
            115        vehicle           0.95
            116        vehicle           0.64
            117        bicycle           0.96
            118        bicycle           0.75
            119     pedestrian           0.41
            120        vehicle           0.48
            121        vehicle           0.27
            122        vehicle           0.81
            123     pedestrian           0.05
            124        vehicle           0.20
            125        vehicle           0.14
            126     pedestrian           0.66
            127     pedestrian           0.06
            128     pedestrian           0.59
            129     pedestrian           0.88
            130        bicycle           0.20
            131     pedestrian           0.04
            132        vehicle           0.71
            133        bicycle           0.71
            134        bicycle           0.73
            135        vehicle           0.54
            136        bicycle           0.42
            137     pedestrian           0.61
            138        bicycle           0.94
            139        bicycle           0.07
            140     pedestrian           0.14
            141        bicycle           0.05
            142     pedestrian           0.73
            143     pedestrian           0.48
            144        bicycle           0.91
            145        bicycle           0.98
            146        vehicle           0.19
            147        vehicle           0.95
            148        vehicle           0.03
            149        bicycle           0.37
            150        bicycle           0.80
            151        bicycle           0.98
            152        vehicle           0.72
            153        bicycle           0.46
            154        bicycle           0.25
            155     pedestrian           0.80
            156        vehicle           0.74
            157        vehicle           0.20
            158     pedestrian           0.97
            159        vehicle           0.78
            160        bicycle           0.05
            161        bicycle           0.98
            162        bicycle           0.79
            163        bicycle           0.14
            164     pedestrian           0.61
            165        vehicle           0.59
            166        vehicle           0.41
            167     pedestrian           0.63
            168     pedestrian           0.16
            169        bicycle           0.78
            170     pedestrian           0.61
            171        bicycle           0.81
            172        bicycle           0.43
            173        bicycle           0.81
            174     pedestrian           0.70
            175        vehicle           0.27
            176        vehicle           0.35
            177     pedestrian           0.99
            178     pedestrian           0.19
            179        vehicle           0.96
            180        bicycle           0.63
            181        bicycle           0.21
            182        vehicle           0.12
            183        bicycle           0.16
            184        bicycle           0.92
            185     pedestrian           0.69
            186        vehicle           0.52
            187        bicycle           0.87
            188        bicycle           0.52
            189        vehicle           0.34
            190        bicycle           0.27
            191        bicycle           0.97
            192        bicycle           0.87
            193        bicycle           0.76
            194     pedestrian           0.08
            195     pedestrian           0.87
            196     pedestrian           0.27
            197        bicycle           0.75
            198        bicycle           0.91
            199     pedestrian           0.67
            200     pedestrian           0.84
