      object_id  distance (ft)relative_speed (mph)
              1        45.0105        14.1449
              2        36.6803        4.25855
              3        73.4023        11.0187
              4        52.4552         4.3324
              5        63.9756        11.0892
              6        3.68775        3.83873
              7        59.7779        2.73941
              8        37.2922        14.8423
              9        97.2525          6.958
             10        21.1613        5.85619
             11        92.1216       0.412397
             12        11.8717        2.56557
             13        45.4218        13.1919
             14        56.4384         12.882
             15        37.3586         3.6472
             16        98.0648        12.0554
             17        19.6142        4.91176
             18        9.75952        13.6525
             19        7.20321         9.0322
             20        20.8992        10.3768
             21        35.1424        3.38804
             22        95.7704         13.938
             23        41.8496        4.65939
             24        92.8688        5.56532
             25        78.4493        1.80453
             26        77.1434        10.2856
             27        15.7795        13.0523
             28        86.6747         8.8802
             29        75.9608        6.16697
             30        46.0816        1.69792
             31        66.4278        6.32195
             32        92.6886        12.6063
             33        75.8914      0.0672214
             34        76.0584        12.1642
             35        61.6628        14.2436
             36        51.2734        14.2208
             37        18.5445        6.75657
             38        88.7255        8.75912
             39        77.1064        11.9391
             40        96.4963        8.03335
             41        92.6245        10.7459
             42        23.1266       0.960605
             43        59.6547        1.17019
             44        66.6054        5.04233
             45        49.9144        1.60305
             46         45.935        2.15132
             47        53.8333        5.49354
             48        99.3841        4.15871
             49        38.0718        11.0164
             50         9.8193        14.6602
             51        69.4002        8.86391
             52        93.5398        12.8917
             53        5.13656        12.0398
             54        45.3388        12.0364
             55        60.8596        5.97527
             56        34.7986        7.72262
             57        12.4748        8.38878
             58        58.8881        10.5194
             59        64.7265        3.52403
             60        4.74497        1.89614
             61        35.1805        7.30199
             62        27.9831        13.0521
             63        86.3036        3.80508
             64        15.7385         3.3563
             65        99.8097        3.53367
             66        21.1099        10.0815
             67        83.6506        1.89745
             68        54.1546        13.0181
             69        93.9149         14.624
             70        68.0301        7.91618
             71        38.3286       0.124313
             72        5.25864         7.3205
             73         57.754        9.32202
             74        19.9328        3.07207
             75        86.6403        3.40166
             76        34.1214        2.97312
             77        72.3577        9.01567
             78        7.83462        8.49919
             79        86.4716        3.23597
             80        80.0366        12.6422
             81         46.131         14.872
             82        52.4913        4.16723
             83        12.7962       0.696889
             84        15.5687       0.706673
             85        3.13938        12.2398
             86        58.4857        5.92019
             87        83.4276        9.26165
             88        89.2713        5.87723
             89        24.8911        1.08061
             90         60.662        1.42971
             91        30.8818        13.9175
             92        30.3522        0.18593
             93        53.8878        5.42802
             94        58.9008        5.75392
             95          58.76        5.54061
             96        23.6409       0.433641
             97        37.0839        11.1198
             98        31.6725        7.18202
             99        79.7781        6.78618
            100        53.5913        12.1376
            101          27.84        1.51155
            102        21.3854        1.39014
            103        72.8213         1.2985
            104        49.4492        14.3569
            105        16.8608        1.21667
            106        6.24378        6.86139
            107        1.89456         5.1894
            108        47.9821        8.06736
            109        71.7828        0.73244
            110        93.1419        4.28141
            111        42.8204        2.21741
            112        32.4337        11.6856
            113        89.9149        9.31593
            114        26.7845        10.1539
            115        8.34739        11.7564
            116        49.6104        5.12811
            117        89.4527        10.3494
            118         44.455        9.04111
            119        78.6525        13.7856
            120        56.9864         14.027
            121        1.01536        9.18453
            122        40.2559       0.136488
            123        96.8262        12.9357
            124        55.6923        9.99135
            125        92.1209        7.02513
            126        96.1517        4.94119
            127        62.6169        3.98781
            128        11.8456        7.57977
            129        89.6916         5.4945
            130        19.2248        14.4058
            131        16.0058        10.0253
            132        31.2264        0.51878
            133         36.831        11.0522
            134        64.7326        2.02253
            135        66.5856        2.95785
            136        7.99684        9.84015
            137        81.9492        6.93791
            138        67.5109        11.5163
            139        33.4907        3.18049
            140        44.3844        3.54174
            141        69.0374        5.78042
            142        57.5529        4.44816
            143        66.1215        10.1098
            144        81.1862        8.07197
            145         5.0285        14.7616
            146        50.8521        2.85514
            147        66.2461        12.0118
            148        23.4928       0.161571
            149        54.7599        12.9338
            150        15.5607        2.90184
            151        6.94441        3.23363
            152        85.9466         13.034
            153        68.8102        7.71862
            154        64.6691      0.0451392
            155        73.6607        1.05802
            156        24.9125        6.10473
            157        46.5896        12.0698
            158        71.3525        1.60667
            159        48.8639        7.58081
            160        65.5243        7.78386
            161        49.9497        2.15645
            162        71.9267        2.12937
            163        95.4548        14.0129
            164        16.2729        7.23221
            165        80.6449        4.47504
            166        68.5603        12.8384
            167        52.3911        7.87603
            168         73.483         2.8802
            169        4.96437        5.42281
            170        20.5023        11.4938
            171        44.2055        6.51223
            172        18.3233        13.3193
            173        24.8803        13.1514
            174        100.506        10.7616
            175        39.2145        9.60459
            176        24.6366        13.0746
            177        79.4069        14.1845
            178        2.35997        10.9293
            179        88.9828        2.49493
            180        22.0765        10.1442
            181        47.4665        13.2955
            182         54.217        14.6786
            183        42.1437          3.855
            184         18.059        6.76621
            185         62.852        5.48419
            186        22.7332       0.758639
            187        80.9761        5.85847
            188        94.8528       0.578458
            189        27.7323        14.0039
            190        76.6006        9.74202
            191        58.3897        14.8856
            192         53.111        5.36949
            193        94.8004        8.02064
            194        9.65836        12.2675
            195        71.1038        4.46023
            196        50.4109        2.48555
            197        19.3717        0.39419
            198         15.428        8.92731
            199        29.3279        4.72305
            200        5.62345         13.527
